wall_s_center,bin,fmax_med,fmax_p25,fmax_p75,n_samples_in_bin,method,noise_pm
8.93543764805882,32,0.09668929874897003,0.07298633456230164,0.13721556961536407,287.0,GAD dt=0.003 (5k),100
10.260066173659641,33,0.08390870690345764,0.06129420921206474,0.12175026535987854,287.0,GAD dt=0.003 (5k),100
11.781063450288183,34,0.07155690342187881,0.04992169141769409,0.10576603934168816,287.0,GAD dt=0.003 (5k),100
13.527540044140883,35,0.0588969849050045,0.04127991572022438,0.09210333600640297,287.0,GAD dt=0.003 (5k),100
15.532921999614459,36,0.048809152096509933,0.03426629304885864,0.08031708933413029,286.0,GAD dt=0.003 (5k),100
17.83559058474993,37,0.04119544290006161,0.027545064687728882,0.07134091854095459,286.0,GAD dt=0.003 (5k),100
20.479616875351343,38,0.034093938767910004,0.022609654814004898,0.061826154589653015,285.0,GAD dt=0.003 (5k),100
23.515605237080855,39,0.0288748349994421,0.019615800119936466,0.05496551841497421,282.0,GAD dt=0.003 (5k),100
27.001661849044613,40,0.02433155570179224,0.017191477119922638,0.053917694836854935,276.0,GAD dt=0.003 (5k),100
31.004506805569168,41,0.021308871917426586,0.015201217262074351,0.05537946987897158,260.0,GAD dt=0.003 (5k),100
35.600751080830136,42,0.018814722076058388,0.013206771109253168,0.053655833937227726,250.0,GAD dt=0.003 (5k),100
40.87836279632643,43,0.017034893855452538,0.012151914183050394,0.054420365020632744,227.0,GAD dt=0.003 (5k),100
46.938350854285375,44,0.017263289541006088,0.011552548035979271,0.05362683907151222,205.0,GAD dt=0.003 (5k),100
53.89669816027922,45,0.019319293089210987,0.010908284690231085,0.05971985403448343,176.0,GAD dt=0.003 (5k),100
61.88658143525377,46,0.022043567150831223,0.011531323427334428,0.06984031200408936,150.0,GAD dt=0.003 (5k),100
71.0609201022428,47,0.03333559259772301,0.012732020113617182,0.08775812573730946,124.0,GAD dt=0.003 (5k),100
81.59530303124468,48,0.036221474409103394,0.012812876142561436,0.09295004606246948,117.0,GAD dt=0.003 (5k),100
93.69134915761549,49,0.04272674024105072,0.015630079433321953,0.09251663833856583,105.0,GAD dt=0.003 (5k),100
107.58056629329383,50,0.04816094785928726,0.01773259462788701,0.09312589652836323,96.0,GAD dt=0.003 (5k),100
123.52878198515151,51,0.05131271854043007,0.020911363884806633,0.09254291839897633,92.0,GAD dt=0.003 (5k),100
141.84123122324826,52,0.051468877121806145,0.022624497767537832,0.09270300902426243,88.0,GAD dt=0.003 (5k),100
162.86839837330643,53,0.05257795564830303,0.022759005427360535,0.09354443661868572,86.0,GAD dt=0.003 (5k),100
187.01272514291568,54,0.052997466176748276,0.022520583122968674,0.09395413100719452,85.0,GAD dt=0.003 (5k),100
214.7363129661119,55,0.05424152687191963,0.02356860786676407,0.09489564970135689,83.0,GAD dt=0.003 (5k),100
246.56976722327977,56,0.05413201451301575,0.02249081525951624,0.09610851854085922,83.0,GAD dt=0.003 (5k),100
283.1223525670614,57,0.05219585448503494,0.021587545052170753,0.09595157951116562,83.0,GAD dt=0.003 (5k),100
325.0936537183841,58,0.05354554392397404,0.022553114220499992,0.09591859765350819,82.0,GAD dt=0.003 (5k),100
373.28696491011067,59,0.014268550090491772,0.014268550090491772,0.014268550090491772,1.0,GAD dt=0.003 (5k),100
0.10715616606015754,0,,,,,GAD dt=0.003 (5k),150
